Frequency_Hz,Amplitude,Window,file_name
1.0,0.027744672085906297,5,handflapping-20240913-16h32.csv
2.0,0.07451138376961708,5,handflapping-20240913-16h32.csv
3.0,0.045255281254997205,5,handflapping-20240913-16h32.csv
4.0,0.022832160355090884,5,handflapping-20240913-16h32.csv
5.0,0.03769750254127076,5,handflapping-20240913-16h32.csv
6.0,0.013016861471785095,5,handflapping-20240913-16h32.csv
7.0,0.013809518736548664,5,handflapping-20240913-16h32.csv
8.0,0.02588552553210729,5,handflapping-20240913-16h32.csv
9.0,0.01469627174372667,5,handflapping-20240913-16h32.csv
10.0,0.024561371149065342,5,handflapping-20240913-16h32.csv
11.0,0.006738187404517567,5,handflapping-20240913-16h32.csv
12.0,0.00610545501343562,5,handflapping-20240913-16h32.csv
13.0,0.003954487401620978,5,handflapping-20240913-16h32.csv
14.0,0.0044626366702420275,5,handflapping-20240913-16h32.csv
15.0,0.016908218041276363,5,handflapping-20240913-16h32.csv
16.0,0.0024170786674397532,5,handflapping-20240913-16h32.csv
17.0,0.006717126823026241,5,handflapping-20240913-16h32.csv
18.0,0.006362202622575673,5,handflapping-20240913-16h32.csv
19.0,0.002145809650076047,5,handflapping-20240913-16h32.csv
20.0,0.007485680656478958,5,handflapping-20240913-16h32.csv
21.0,0.008789300948896349,5,handflapping-20240913-16h32.csv
22.0,0.011386540396699929,5,handflapping-20240913-16h32.csv
23.0,0.01152897255700515,5,handflapping-20240913-16h32.csv
24.0,0.0060104260906530226,5,handflapping-20240913-16h32.csv
0.0,51.00510576996503,6,handflapping-20240913-16h32.csv
1.0,0.09597188733677545,6,handflapping-20240913-16h32.csv
2.0,0.1122015476132887,6,handflapping-20240913-16h32.csv
3.0,0.05327758299898957,6,handflapping-20240913-16h32.csv
4.0,0.033022070081044026,6,handflapping-20240913-16h32.csv
5.0,0.0626637030253729,6,handflapping-20240913-16h32.csv
6.0,0.03231447039152391,6,handflapping-20240913-16h32.csv
7.0,0.029589289319337523,6,handflapping-20240913-16h32.csv
8.0,0.008664587873897659,6,handflapping-20240913-16h32.csv
9.0,0.020385323826176343,6,handflapping-20240913-16h32.csv
10.0,0.014302861645697282,6,handflapping-20240913-16h32.csv
11.0,0.012885828337501183,6,handflapping-20240913-16h32.csv
12.0,0.006890870423851645,6,handflapping-20240913-16h32.csv
13.0,0.016057735341174814,6,handflapping-20240913-16h32.csv
14.0,0.02474504557593942,6,handflapping-20240913-16h32.csv
15.0,0.010517776987173523,6,handflapping-20240913-16h32.csv
16.0,0.009618692432455007,6,handflapping-20240913-16h32.csv
17.0,0.021485366858443045,6,handflapping-20240913-16h32.csv
18.0,0.004876558398060579,6,handflapping-20240913-16h32.csv
19.0,0.004853510475528586,6,handflapping-20240913-16h32.csv
20.0,0.0033811971622085537,6,handflapping-20240913-16h32.csv
21.0,0.015483599951799404,6,handflapping-20240913-16h32.csv
22.0,0.006726386459782345,6,handflapping-20240913-16h32.csv
23.0,0.004873219545963383,6,handflapping-20240913-16h32.csv
24.0,0.014475466986832478,6,handflapping-20240913-16h32.csv
0.0,55.104006410926914,7,handflapping-20240913-16h32.csv
1.0,3.9605582222676645,7,handflapping-20240913-16h32.csv
2.0,3.365893169226387,7,handflapping-20240913-16h32.csv
3.0,2.2565858791087687,7,handflapping-20240913-16h32.csv
4.0,1.2714455893941712,7,handflapping-20240913-16h32.csv
5.0,0.885641471775471,7,handflapping-20240913-16h32.csv
6.0,0.8323382227892262,7,handflapping-20240913-16h32.csv
7.0,0.7425079029351151,7,handflapping-20240913-16h32.csv
8.0,0.5592504575491641,7,handflapping-20240913-16h32.csv
9.0,0.4952896631648419,7,handflapping-20240913-16h32.csv
10.0,0.7212712019605612,7,handflapping-20240913-16h32.csv
11.0,0.8554329086671226,7,handflapping-20240913-16h32.csv
12.0,0.7045892605651408,7,handflapping-20240913-16h32.csv
13.0,0.40702859903465033,7,handflapping-20240913-16h32.csv
14.0,0.057789922190550964,7,handflapping-20240913-16h32.csv
15.0,0.2765496227104443,7,handflapping-20240913-16h32.csv
16.0,0.3994435828217253,7,handflapping-20240913-16h32.csv
17.0,0.35047502707450706,7,handflapping-20240913-16h32.csv
18.0,0.2875680913152338,7,handflapping-20240913-16h32.csv
19.0,0.29276459428092233,7,handflapping-20240913-16h32.csv
20.0,0.3181593578383707,7,handflapping-20240913-16h32.csv
21.0,0.2776966291802073,7,handflapping-20240913-16h32.csv
22.0,0.15790146655449244,7,handflapping-20240913-16h32.csv
23.0,0.2886237297770296,7,handflapping-20240913-16h32.csv
24.0,0.5052632411996008,7,handflapping-20240913-16h32.csv
0.0,72.91397815936892,8,handflapping-20240913-16h32.csv
1.0,9.046196964058854,8,handflapping-20240913-16h32.csv
2.0,1.877309591551151,8,handflapping-20240913-16h32.csv
3.0,2.0324195267783676,8,handflapping-20240913-16h32.csv
4.0,1.8272115700017704,8,handflapping-20240913-16h32.csv
5.0,0.503043688237813,8,handflapping-20240913-16h32.csv
6.0,0.56780685010477,8,handflapping-20240913-16h32.csv
7.0,0.5347201927743052,8,handflapping-20240913-16h32.csv
8.0,1.0040113815632232,8,handflapping-20240913-16h32.csv
9.0,0.5510403482215572,8,handflapping-20240913-16h32.csv
10.0,0.41124375952143255,8,handflapping-20240913-16h32.csv
11.0,0.6615816077549447,8,handflapping-20240913-16h32.csv
12.0,0.20011066642946818,8,handflapping-20240913-16h32.csv
13.0,0.693426812290791,8,handflapping-20240913-16h32.csv
14.0,0.23421749348289742,8,handflapping-20240913-16h32.csv
15.0,0.2872519494188958,8,handflapping-20240913-16h32.csv
16.0,0.4058121790311722,8,handflapping-20240913-16h32.csv
17.0,0.13314147273721802,8,handflapping-20240913-16h32.csv
18.0,0.2152869140562486,8,handflapping-20240913-16h32.csv
19.0,0.230666079022655,8,handflapping-20240913-16h32.csv
20.0,0.3387553665492345,8,handflapping-20240913-16h32.csv
21.0,0.06512522929292666,8,handflapping-20240913-16h32.csv
22.0,0.29805343721194155,8,handflapping-20240913-16h32.csv
23.0,0.2123096295621394,8,handflapping-20240913-16h32.csv
24.0,0.21906010946174684,8,handflapping-20240913-16h32.csv
0.0,51.739571063461085,9,handflapping-20240913-16h32.csv
1.0,0.403527597690835,9,handflapping-20240913-16h32.csv
2.0,0.8316523985162441,9,handflapping-20240913-16h32.csv
3.0,0.45881856741225174,9,handflapping-20240913-16h32.csv
4.0,0.4533958739506388,9,handflapping-20240913-16h32.csv
5.0,0.2828630926510404,9,handflapping-20240913-16h32.csv
6.0,0.2633273148224689,9,handflapping-20240913-16h32.csv
7.0,0.2346972116261777,9,handflapping-20240913-16h32.csv
8.0,0.18297335786628915,9,handflapping-20240913-16h32.csv
9.0,0.2504920379658854,9,handflapping-20240913-16h32.csv
10.0,0.2202891770740827,9,handflapping-20240913-16h32.csv
11.0,0.25672841739226754,9,handflapping-20240913-16h32.csv
12.0,0.159498976784292,9,handflapping-20240913-16h32.csv
13.0,0.1210843664617282,9,handflapping-20240913-16h32.csv
14.0,0.08681871962765648,9,handflapping-20240913-16h32.csv
15.0,0.029876005836992067,9,handflapping-20240913-16h32.csv
16.0,0.03383026257168165,9,handflapping-20240913-16h32.csv
17.0,0.07200559973569055,9,handflapping-20240913-16h32.csv
18.0,0.057544417175859286,9,handflapping-20240913-16h32.csv
19.0,0.06442486843117569,9,handflapping-20240913-16h32.csv
20.0,0.0715934096222352,9,handflapping-20240913-16h32.csv
21.0,0.044571971315090636,9,handflapping-20240913-16h32.csv
22.0,0.08996205742530475,9,handflapping-20240913-16h32.csv
23.0,0.12401629064302555,9,handflapping-20240913-16h32.csv
24.0,0.15751850269186327,9,handflapping-20240913-16h32.csv
0.0,50.89089899359246,10,handflapping-20240913-16h32.csv
1.0,0.4990251112975897,10,handflapping-20240913-16h32.csv
2.0,0.13652848981465426,10,handflapping-20240913-16h32.csv
3.0,0.1087844605132562,10,handflapping-20240913-16h32.csv
4.0,0.06297009912327467,10,handflapping-20240913-16h32.csv
5.0,0.029207217696802863,10,handflapping-20240913-16h32.csv
6.0,0.019569892910727908,10,handflapping-20240913-16h32.csv
7.0,0.01450255505640372,10,handflapping-20240913-16h32.csv
8.0,0.03756738980955985,10,handflapping-20240913-16h32.csv
9.0,0.01858182292751126,10,handflapping-20240913-16h32.csv
10.0,0.042929706052352114,10,handflapping-20240913-16h32.csv
11.0,0.047647590759203474,10,handflapping-20240913-16h32.csv
12.0,0.01387081182927036,10,handflapping-20240913-16h32.csv
13.0,0.029305249790977483,10,handflapping-20240913-16h32.csv
14.0,0.022204399099157168,10,handflapping-20240913-16h32.csv
15.0,0.029063817044467893,10,handflapping-20240913-16h32.csv
16.0,0.021436957780643577,10,handflapping-20240913-16h32.csv
17.0,0.010983157132451678,10,handflapping-20240913-16h32.csv
18.0,0.011681510862774979,10,handflapping-20240913-16h32.csv
19.0,0.007032920623557862,10,handflapping-20240913-16h32.csv
20.0,0.016711382361616678,10,handflapping-20240913-16h32.csv
21.0,0.003137420389549093,10,handflapping-20240913-16h32.csv
22.0,0.025719479702447853,10,handflapping-20240913-16h32.csv
23.0,0.023969336821411145,10,handflapping-20240913-16h32.csv
24.0,0.01815590535869334,10,handflapping-20240913-16h32.csv
0.0,51.13589878558835,11,handflapping-20240913-16h32.csv
1.0,0.11687880166242605,11,handflapping-20240913-16h32.csv
2.0,0.04872622636423459,11,handflapping-20240913-16h32.csv
3.0,0.04249202050851515,11,handflapping-20240913-16h32.csv
4.0,0.06222216633611108,11,handflapping-20240913-16h32.csv
5.0,0.012885279797809427,11,handflapping-20240913-16h32.csv
6.0,0.025908919220320615,11,handflapping-20240913-16h32.csv
